cleaned_tweet_text,hashtags,emails
mista headlining coachella gonna kill bu comethru nwts,"['#Coachella2015', '#comethru', '#NWTS']",['@Drake']
time start planning festival outfits _ coachella httptcoudkkpfcri,['#Coachella2015'],[]
rt  cant wait coachella coachella httptcotlfdkqw,['#Coachella2015'],['@DianneSecret:']
want go coachella ,['#Coachella2015'],[]
coachella need there need job pay tame impala interpol aaah,['#Coachella2015'],[]
wtf many beautiful people one area coachella,['#Coachella2015'],[]
pretending study reading coachella _ httptcosdarapker,['#Coachella2015'],[]
music moment coachella lineup here see whos joining drake acdc httptcobpgtcjwmnp,"['#Music', '#Coachella2015', '#Drake']",[]
torn going week   ____ coachella,['#Coachella2015'],[]
coachella nice,['#Coachella2015'],[]
go coachella year someone snuffs unrecognizable drugs nostrils coachella,['#Coachella2015'],[]
rt  hard decide whether follow ces coachella hastag,"['#CES2015', '#Coachella2015']",['@vdimauro:']
stoked see much aussie talent coachella httptcowrdnkse,['#Coachella2015'],[]
coachellas line dope stoked coachella,['#Coachella2015'],[]
really want see live performance acdc coachella,['#Coachella2015'],[]
rt  anyone else feeling like coachella worth quitting job go to ok me,['#Coachella2015'],['@Magic_Mick3:']
one day go coachella coachella,['#Coachella2015'],[]
coachella line amazing coachella,['#Coachella2015'],[]
coachella lineup fuckin sweeeeeet,['#Coachella2015'],[]
 coachella lineup _ httptcovkekcdhx go coachella save money ,['#Coachella2015'],['\x89ÛÏ@EdgarSurya:']
 see coachella chef coming desert yeahh,['#Coachella2015'],['\x89ÛÏ@Raekwon:']
must go coachella need see ughhh,['#Coachella2015'],"['@alt_J', '@cleanbandit', '@haertsmusic', '@Hozier', '@MarinasDiamonds', '@MilkyChance', '@st_vincent', '@vancejoy']"
alright whos taking coachella  prettyplease,"['#Coachella2015', '#prettyplease']",[]
need book flight coachella httptcozgccbswy,['#coachella2015'],[]
need book flight coachella httptcongmxtzz,['#coachella2015'],[]
friday set though coachella httptcotuhkased,['#coachella2015'],[]
coachella lineup gold,['#Coachella2015'],[]
see ya coachella right hometown,['#Coachella2015'],"['@ActionBronson', '@abdashsoul', '@theweeknd', '@Drake', '@LILBTHEBASEDGOD', '@coachella']"
bad all _ coachella httptcomteldmqe,['#coachella2015'],[]
fuck yes jack white acdc coachella oh jeez lt,['#Coachella2015'],['@kimbramusic']
florence  machine too coachella,['#Coachella2015'],[]
anyone want sponsor student get coachella lineup though crowdfunding helpmeimpoor wowee,"['#Coachella2015', '#crowdfunding', '#helpmeimpoor', '#wowee']",[]
fingers crossed amp duet  coachella,['#Coachella2015'],"['@TheRyanAdams', '@Drake', '@']"
eek __ dying excitement coachella,['#Coachella2015'],"['@acdc', '@coachella']"
coachella lineup _ httptcoqkcqlrt,['#Coachella2015'],[]
rt  whos excited coachella coachellafest coachella music discoverpalmsprings palmsprings_ httptcokvsung_,"['#Coachella', '#coachellafest', '#coachella2015', '#music', '#discoverpalmsprings', '#palmsprings']",['@palmspringsusa:']
 oh my coachella lets httptcokiwiglux,['#Coachella2015'],['@CarolHaidar']
now wutang clan split many pieces getting back together like getting dragon balls coachella,['#Coachella2015'],[]
needs textbooks coachella tickets bought,['#Coachella2015'],[]
line coachella _________________________,['#Coachella2015'],[]
fact coachella happening los angeles months tempting,['#Coachella2015'],[]
soooo excited coachella __ httptcotrlpgpfcz,['#Coachella2015'],[]
congrats  lineup fuckin unreal coachella,['#Coachella2015'],"['@coachella,']"
coachella sounds like bout amazing wish california,['#Coachella2015'],[]
rt  hyperventilating coachella httptcofbryrastz,['#Coachella2015'],['@HannChizzle:']
waittt might wanna go coachella __,['#Coachella2015'],[]
drake come coachella,['#Coachella2015'],['@Drake']
acdc headline coachella  please let lotto numbers pop up,"['#ACDC', '#Coachella2015']",[]
yo  proud imma let finish headlining coachella,['#Coachella2015'],"['@Drake,', '@LILBTHEBASEDGOD']"
dont coachella lineup muuuch much __,['#Coachella2015'],"['@_kenziejayne', '@Harrisonnn_C']"
 coachella huh ___ epic ______ see there,"['#Coachella2015', '#Epic']",['\x89ÛÏ@LL_COOL_LJ:']
coachella finally lineup makes sense,['#Coachella2015'],[]
 coachella huh ___ epic ______ see there soooo jealous _ wish could there know slay _,"['#Coachella2015', '#Epic']","['""@LL_COOL_LJ:']"
rt  n bae celebrating one year anniversary coachella drake headlining won,['#Coachella2015'],['@DHarris1089:']
someone give  coachella httptcoqnxuigbuq,['#Coachella2015'],[]
rt    coachella lineup looks fucking awesome girl yes tryna see baby drake_ _,['#Coachella2015'],"['@priscyflamenco:', '\x89ÛÏ@Ashleytoledo_:', '\x89ÛÏ@priscyflamenco:']"
seeing coachella lineup today real question is buy textbooks or tickets coachella collegegirldecisions,"['#Coachella2015', '#collegegirldecisions']",[]
dream coachella lineup coachella drake drizzy champagnepapi httptcoxisliaxtd,"['#coachella', '#coachella2015', '#drake', '#drizzy', '#champagnepapi']","['@coachella', '@Drake']"
  coachella lineup looks fucking awesome girl yes tryna see baby drake_ weeknd _,['#Coachella2015'],"['\x89ÛÏ@Ashleytoledo_:', '\x89ÛÏ@priscyflamenco:']"
rt  omg wanna go bad coachella httptcoppbqaictjt,['#Coachella2015'],['@Whatever_Mason:']
really wanna go takers trip home state plus get see husband  coachella_ httptcokamkwqk,['#coachella2015'],[]
 coachella lineup released bad cant go ______,['#Coachella2015'],[]
defiantly need find sugar daddy april cause wanna go coachella _,['#Coachella2015'],[]
 drake run jewels perform coachella httptcomkccasr coachella _,['#Coachella2015'],['\x89ÛÏ@XXL:']
want go coachella year justtonameafew coachella,"['#JustToNameAFew', '#Coachella2015']","['@StP_BrokenBones', '@Hozier', '@theweeknd', '@Alabama_Shakes', '@flo_tweet']"
oh gosh jack white headlining coachella ______,['#Coachella2015'],[]
rt  st glance line looks ok actually good balance types acts gives time  enj_,[],"['@spanglishpop:', '@coachella']"
weeknd coachella coachella ___,['#Coachella2015'],[]
brand new allllll time favorite band coachella,['#Coachella2015'],[]
rt  mad chills right now coachella,['#Coachella2015'],['@carson_long27:']
favs coachella,['#Coachella2015'],"['@Hozier', '@AZEALIABANKS', '@Drake', '@Alabama_Shakes', '@Kiesza', '@theweeknd', '@flo_tweet', '@MilkyChance', '@alt_J', '@thirdmanrecords']"
rt  wow coachella lineup amazing year coachella coachella httptcojwagqyxjik,"['#Coachella2015', '#coachella']","['@JamiesMole:', '@coachella']"
ideal coachella lineup tbh  httptcotojmgz,['#Coachella2015'],['\x89ÛÏ@MigosATL:']
wanna see day two coachella,['#Coachella2015'],['@theweeknd']
really think need basically blow money go yr ___ coachella,['#Coachella2015'],['@coachella']
joandidion celine  acdc coachella two three aint bad,"['#JoanDidion', '#Celine', '#Coachella2015']","['@LillyPulitzer', '@Target.']"
must go coachella music love firsttimer httptcoroplddqco,"['#coachella2015', '#music', '#love', '#firsttimer']",[]
glad place blocks coachella electroswing,"['#Coachella2015', '#electroswing']",[]
yep happen coachella bitches httptcoohbkmjc,['#coachella2015'],[]
coachella  lineup intense make sad poor ___________ coachella,['#Coachella2015'],[]
really want go coachella coachella,['#Coachella2015'],[]
awesome drake coachella would awesome concert would also perform,"['#Drake', '#Coachella2015']","['@britneyspears', '@taylorswift13']"
coachella lineup released jack white acdc etc httptconkzqndjzo festival,"['#Coachella2015', '#festival']",[]
ey sing free coachella tickets httptcoyuvotxb coachella coachella,"['#Coachella2015', '#Coachella']",[]
hoping back black cow friday  coachella  lineup  verge  httptconpnygzbnv coachella,['#coachella2015'],[]
coachella coachella first weekend bruh bruh,"['#Coachella2015', '#coachella']",[]
 _ real quick coachella,['#coachella2015'],['@Drake']
take coachella wid,['#Coachella2015'],['@Swayyne']
something look forward too coachella,['#Coachella2015'],[]
cant wait ___coachella httptcojbcrn,['#coachella2015'],[]
coachella lineup lookin dope nd weekend httptcobtkqbqerne,['#coachella2015'],[]
strong lineup coachella httptcomqqdhbqulk,['#Coachella2015'],[]
cares coachella lineup wanna know warpedtour  full lineup,"['#Coachella2015', '#warpedtour']",[]
coachella congrats guys thats huge cant wait see guys weekendone knkallday coachella,"['#weekendone', '#KNKAllDay', '#Coachella2015']",['@keysnkrates']
_ line coachella,['#Coachella2015'],[]
coachella surprises fans steely dan acdc  lineup httptcoemimpfifps coachella steelydan acdc coachella,"['#coachella', '#steelydan', '#acdc', '#coachella2015']",[]
id really love go coachella,['#Coachella2015'],[]
line announced see  coachella coachella coachellalineup httptcooykrikfjwt,"['#Coachella2015', '#Coachella', '#coachellalineup']",['@coachella!!']
coachella lineup beautiful thing ever seen,['#Coachella2015'],[]
seeing coachella april coachella vacation musicjunkie,"['#coachella2015', '#vacation', '#musicjunkie']",[]
proud friends landing coachella humble talentedthe grind pays off_ httptcouvtxxp,['#Coachella2015'],['@losrakas']
rt  line coachella beautiful,['#Coachella2015'],['@Sincerely_Kattt:']
line coachella beautiful,['#Coachella2015'],[]
rt  erol alkan really stoked tbh coachella,['#Coachella2015'],['@AJTWEETS:']
drake wknd action bronson raekwon ghost absoul florence machine  many more pumped coachella there,['#Coachella2015'],[]
amazing line coachella  topin bring httptcoihtaattx,"['#Coachella2015', '#top5in5']",[]
lineup pretty sweet especially since two favourite producers playing coachella,['#Coachella2015'],"['@coachella', '@awonderdj', '@DukeDumont']"
rt  ready coachella help ___flower headbands amp hair tutorials httptcovymqjnlif coachella,"['#Coachella', '#Coachella2015']",['@FlowerChildHair:']
coachella  see there reunion,"['#Coachella2015', '#reunion']",['@SirAngusBlair']
going coachella weekend  check excited see coachella httptcozezpqrkmn,['#COACHELLA2015'],[]
ready coachella help ___flower headbands amp hair tutorials httptcovymqjnlif coachella,"['#Coachella', '#Coachella2015']",[]
wanna go bad _ coachella httptcolblzico,['#Coachella2015'],[]
rt  whose excited coachella  _coachella httptcoyvbzdbzc,[],['@GuyFieriaAF:']
coachella discounttickets ondeck plur drake kaskade ness   rt httptcoifmrrfgg,"['#Coachella2015', '#DiscountTickets', '#OnDeck', '#PLUR', '#Drake', '#Kaskade', '#RT']","['""@coachella:']"
coachella lineup absolutely insane,['#Coachella2015'],[]
see __ coachella httptcofzcqnfkfg,['#Coachella2015'],[]
god httptcofitjspzmt prayersanswered coachella,"['#6GOD', '#PrayersAnswered', '#Coachella2015']",['@LILBTHEBASEDGOD']
omg coachella azealia fka marina lights ____,['#Coachella2015'],[]
omg silver hymen flaps gonna playing coachella,['#Coachella2015'],[]
excited th else riding desert coachella httptcoekpyfkt,['#Coachella2015'],['@coachella']
ticket sales tomorroww coachella,['#Coachella2015'],['@julia_kirk46']
got get tickets coachella never perhaps want see drake rap live would cool see,['#Coachella2015'],[]
erol alkan really stoked tbh coachella,['#Coachella2015'],[]
coachella lineup look appealing predecessors still good tho,['#Coachella2015'],[]
omg coachella lineup _______ soexcited _,"['#OMG', '#Coachella2015', '#SoExcited']",[]
cant believe get finally see acdc live coachella,['#coachella2015'],[]
lineup here coachella httptcooifihjs missing year _,['#Coachella2015'],[]
saw list awesome artists years coachella festival ______ wanna go coachella fosterthepeople nero,"['#Coachella2015', '#fosterthepeople', '#nero']",[]
currently seeking someone coachella coachella,['#Coachella2015'],[]
ha lets reaaaal lets talk coachella music travel,"['#Coachella2015', '#music', '#travel']",['@eri_wiwi']
rt  coachella definitely bucket list coachella,['#Coachella2015'],['@shannonbugelli:']
another festival season another year feel old read bottom  lines still recognize band two coachella,['#Coachella2015'],[]
people everywhere getting cassettes prepare coachella line up,['#Coachella2015'],[]
moms hear talking going coachella lol _ okay mom aint bout go without ,['#Coachella2015'],[]
__ _ looking forward coachella chasingmili httptconqgzgtvhmy httptcoglgpgbxqp,['#coachella2015'],[]
rt  wahhhh acdc amp deorro  coachella isthisreallife coachella httptcomkvymxmlu,"['#IsThisRealLife', '#coachella2015']",['@JAVPRECIO:']
literally lost breath coachella time favorite musicians yr looks like im making first trip back ca,['#Coachella2015'],[]
coachella gonna dopeeeee coachella,['#Coachella2015'],[]
really want go coachella,['#Coachella2015'],[]
take one coachella ticket please shall see drake,['#Coachella2015'],[]
found performing coachella _______________________________________________,['#Coachella2015'],['@MarinasDiamonds']
whoever would love buy ticket coachella love long time would fuckkn badass___,['#Coachella2015'],[]
people coachella who fuck steelydan greatest band named vibrator ever,"['#Coachella2015', '#SteelyDan']",[]
feel like going tweeting way much wonderful time year coachella,['#Coachella2015'],['@coachella']
tru still wanna go coachella tho httptcoonlaverw,['#Coachella2015'],[]
randomly want go coachella april,['#Coachella2015'],[]
acdc en coachella cant wait,"['#ACDC', '#Coachella2015']",[]
rt  coachella lets go people,['#Coachella2015'],['@JonelRabara:']
jack white going bring lil b coachella coachella,['#Coachella2015'],[]
know find sunday night  drake coachella coachella totesobvi,"['#Coachella', '#Coachella2015', '#totesobvi']",['@coachella']
rt  kygo oliver heldens porter robinson floss edm acts good coachella,['#Coachella2015'],['@cperez_05:']
everyone cant go coachella sadly dreams it coachella,['#Coachella2015'],[]
nowplaying official coachella playlist  gearing up ___,"['#nowplaying', '#coachella2015']",['@Spotify!']
playing coachella worth going __,['#Coachella2015'],['@Interpol']
turn what coachella coachella ___,"['#coachella', '#Coachella2015']",['@coachella']
go coachella mean look line up httptcopdlfcmfm,['#Coachella2015'],[]
  lineup here coachella httptcoyius cue flower headband display front  center ___,['#Coachella2015'],"['\x89ÛÏ@kaskade:', '\x89ÛÏ@Forever21:']"
coachella lets go people,['#Coachella2015'],[]
it is on coachella herewecome _ indiosnotready httptcohqppmeswo,"['#coachella2015', '#herewecome', '#indiosnotready']",[]
planning coachella whos coming me,['#Coachella2015'],[]
wishing lived america coachea line good ahhhhh coachella coachella acdc,"['#Coachella2015', '#Coachella', '#ACDC']",[]
lets go coachella,['#Coachella2015'],[]
 coachella sounds like perfect way spend refund collegefession nbd coachella take me _,"['#collegefession', '#nbd', '#Coachella2015']",['\x89ÛÏ@Mher13:']
n bae celebrating one year anniversary coachella drake headlining won,['#Coachella2015'],[]
holy shit coachella httptcozsmskkkk,['#Coachella2015'],[]
yip commence hysterical sobbing now coachella lineup awesome icanteven meh fomo httptcocvgorjjhmm,"['#coachella2015', '#lineup', '#awesome', '#icanteven', '#meh', '#fomo']",[]
httptcohzhnmlk httptcoakcuzwxz thanks making us hungryforcoachella coachella lineup,"['#hungryforcoachella', '#Coachella2015', '#lineup']","['@coachella', '@HungerMagazine']"
rt  alright coachella httptcojgbsfqmb,['#coachella2015'],['@Moe_Kwatra:']
west coast woodstock aka countdown begins coachella calilife httptcozfjjipvx,"['#Coachella2015', '#CaliLife']",['@coachella']
super excited see too cant wait dance tropical house desert coachella firestone,"['#Coachella2015', '#Firestone']",['@KygoMusic']
drakes headlining coachella weeknd gonna too someone want come cali summer,['#Coachella2015'],[]
coachella line solid,['#Coachella2015'],[]
excited see drake coachella really hope plays started bottom song would cool see live sarcasm,"['#drake', '#Coachella2015', '#sarcasm']",[]
hyperventilating coachella httptcofbryrastz,['#Coachella2015'],[]
rt  idk yall complaining great lineup coachella httptcofswqxna,['#Coachella2015'],['@ThatDudeProtege:']
coachella lineup actually good coachella,['#Coachella2015'],[]
must year unreallineup lottotomorrow coachella,"['#UnrealLineUp', '#LottoTomorrow', '#Coachella2015']",['@coachella']
year greats greats knows likely fall love new bandsinger coachella,['#Coachella2015'],['@coachella']
fkatwigs stromae tip iceberg coachella,"['#FKATwigs', '#stromae', '#Coachella2015']",[]
rt  want go coachella _,['#Coachella2015'],['@charliejbull:']
probably every artists dream poster size  font coachella,['#Coachella2015'],[]
omg coachella  cant wait httptcoapoaztyb,['#Coachella2015'],[]
coachella could soon enough lineup incredible____ coachella cantwait httptcokpraiwn,"['#coachella2015', '#cantwait']",[]
song one favourite bands would go coachella brave hipsters them httpstcogoizwvhfj,['#Coachella2015'],[]
bucketlist coachella need this,"['#bucketlist', '#Coachella2015']",[]
would worth see acdc live coachella,['#Coachella2015'],[]
happy bought weekend  passes_____ coachella coachella presale thankyou,"['#Coachella2015', '#Coachella', '#presale', '#ThankYou']",['@coachella']
im trynna break coachella virginity coachella,['#Coachella2015'],[]
weeknd jack white circa survive lykke li ratatat amp brand new common awesomeness coachella,['#Coachella2015'],[]
ok music fansthe coachella lineup out httptcoxlukypl,['#Coachella2015'],[]
steely dan acdc coachella showing age fing awesome line,['#Coachella2015'],[]
craig nelsons gonna headline  coachella httptcooedvhuqreo,['#Coachella2015'],[]
omggggggg happy coachella,['#Coachella2015'],['@LosRakas']
tomorrow buy ticket heart cant take it coachella,['#Coachella2015'],['@anissaadame']
photo  years strong cant wait gonna amazing coachella campgrime httptcowjktgbkw,"['#Coachella2015', '#CampGrime']",[]
 years strong cant wait gonna amazing coachella campgrime whereareyou httptcohzjkkyo,"['#Coachella2015', '#CampGrime', '#WhereAreYou']",[]
never crazy coachella fan lineup fuckjng incredible ____ fucking birthday weekend  weeknd kaskade coachella,"['#weeknd', '#kaskade', '#coachella2015']",[]
coachella fest year gonna drake weeknd _ glad working year coachella topflightsecurityoftheworld,"['#Coachella2015', '#TopFlightSecurityOfTheWorld']",[]
super excited abt  coachella,['#Coachella2015'],['@FKAtwigs']
we already got spring  poppin_ drake coachellafest coachella,"['#Drake', '#CoachellaFest', '#Coachella2015']",[]
rt   time around coachella _,['#Coachella2015'],['@Francineeee_:']
oh god playing coachella yessssssss cant go bot omg yay exciting lt lt coachella,['#Coachella2015'],['@george_ezra']
coachella festival full basketball coaches,['#Coachella2015'],[]
screw edc take coachella___ coachella cali httptcowlzrhf,"['#coachella2015', '#cali']",[]
repost one day go  coachella coachella coachella httptcoflmyffdqs,"['#Repost', '#coachella', '#coachella2015']",['@kenzasmg']
acdc steelydan playing coachella vegas anxiously awaits usual sin city overflow show coachella,"['#ACDC', '#SteelyDan', '#Coachella', '#Vegas', '#Coachella2015']","['@acdc', '@SteelyDanSays']"
saw sold coachella,['#Coachella2015'],"['@FLOSSTRADAMUS', '@keysnkrates']"
coachella lineup __ httptconeavyhfur,['#Coachella2015'],[]
steely dan coachella move acdc give jazz rock coachella,['#Coachella2015'],[]
rt  jackwhite amp playing day sure handle much awesomeness one day excit_,['#JackWhite'],"['@JackieJohnsonLA:', '@Hozier', '@coachella']"
interpol going interpol coachella,['#Coachella2015'],[]
rt  even written small font fact coachella list must _,['#Coachella2015'],['@Mhuky:']
love turning people music past  years thankyou see coachella,"['#thankyou', '#Coachella2015']",['@TheRyanAdams']
solid line coachella,['#Coachella2015'],"['@Bailey_Taylorr', '@mariahpickett']"
sooo whose coming w indio california  __ coachella httptcohrppgyoxp,['#Coachella2015'],[]
rt  coachella sounds like perfect way spend refund collegefession nbd coachella,"['#collegefession', '#nbd', '#Coachella2015']",['@Mher13:']
lineup beautiful ______ coachella httptcodavbdkwis,['#Coachella2015'],[]
ride eclectic bill coachella  odd good,['#Coachella2015'],"['@acdc', '@tameimpala', '@st_vincent', '@SteelyDanSays']"
hyperventilating slightly wants come coachella me coachella california_ httptcoqmzxvbgb,"['#coachella2015', '#California']",[]
want go coachella even people recognize lineup drake amp david guetta lol coachella coachella ___,"['#coachella', '#coachella2015']",[]
steely dan acdc tho still fangirling heart coachella,"['#fangirling', '#Coachella2015']",[]
says  days till coachella jheeezeeeee turnup,"['#coachella2015', '#jheeezeeeee', '#turnup']",[]
congrats coachella,['#Coachella2015'],['@awonderdj']
would anything go coachella ____,['#Coachella2015'],[]
want go coachella _____,['#Coachella2015'],[]
found axwellingrosso coachella lineup _ httptconkqwpxzsd,['#Coachella2015'],['@NadiaRx']
cant wait desert ___ coachella,['#Coachella2015'],[]
oh lord coachella going amazing,['#Coachella2015'],[]
really want go coachella really want dress like god damn moron weekend conundrums,"['#Coachella2015', '#conundrums']",[]
music lovers  lineup here httptcoiphnqhciba amp many more coachella,"['#MUSIC', '#Coachella2015']","['@coachella', '@Drake', '@LykkeLi', '@acdc', '@Hozier']"
okay really need plan trip coachella year whos in wanna see musicfestivals httptcohvqeot,"['#Coachella2015', '#MusicFestivals']",['@ISO50']
think gonna keep ticket __ __ coachella,['#Coachella2015'],['@DesisaurusRexx']
coachella respect wallet time gotta know  lineup coachella httptcoyhqogekjh,['#Coachella2015'],['\x89ÛÏ@Forever21:']
take moment really appreciate coachella line please fomo thattimeofyearagain,"['#Coachella2015', '#FOMO', '#thattimeofyearagain']",[]
sadness starts ___ coachella httptcowhnmunqkio,['#Coachella2015'],[]
coachella im it,['#Coachella2015'],[]
would awesome go coachella _,['#Coachella2015'],[]
rt  counting days boys coachella httptcoraeuzif,['#Coachella2015'],"['@ColeWorld_99:', '@STARR_POWER_', '@Gus_F94']"
beyond stoked right now coachella httptcotqpnznfvdc,['#Coachella2015'],[]
rt  music festival go would year coachella,['#Coachella2015'],['@mynameisblanket:']
good music taste amp broke fun seeing lineup coachella,['#Coachella2015'],[]
old go coachella ,['#Coachella2015'],[]
rt  going go ahead call sunset set outdoor coachella,['#Coachella2015'],"['@vanessafranko:', '@TheRyanAdams', '@coachella']"
going go ahead call sunset set outdoor coachella,['#Coachella2015'],"['@TheRyanAdams', '@coachella']"
rt  xo til overbroke coachella,['#Coachella2015'],['@LanceMartell:']
hey every heres full official coachella line looking forward seeing  days httptcokcqmfatnei,['#Coachella2015'],['@Msldemarco']
weeknd drake en coachella________,['#Coachella2015_Ù'],[]
 coachella lineup tho httptconyjvppnacdc _,['#Coachella2015'],['\x89ÛÏ@AniCaribbean:']
wish someone would buy tickets coachella,['#Coachella2015'],[]
sooooo excited coachella httptcoqztjlruo,['#Coachella2015'],['@AbbyJoRudling']
legendary coachella httptcoipeyxiiqkj,['#Coachella2015'],[]
lineup awesome plus sunday ___ httptcoxtmyhm coachellalineup coachella coachella musicfestival,"['#coachellalineup', '#Coachella2015', '#coachella', '#musicfestival']","['@coachella', '@Drake']"
rt  someone take plz __ coachella httptcoeygvjjtmxr,['#Coachella2015'],['@KatieCarlton7:']
news going coachella,['#Coachella2015'],[]
jackwhite amp playing day sure handle much awesomeness one day excited coachella,"['#JackWhite', '#Coachella2015']","['@Hozier', '@coachella']"
coachella going lit,['#Coachella2015'],[]
whoa_ httptcocrezfer coachella wishlist broke coachellalineup,"['#Coachella2015', '#wishlist', '#2broke', '#coachellalineup']",[]
hype coachella ___ httptcogyedxelte,['#Coachella2015'],['_ÙÓ´_ÙÓ´_ÙÓ´\x89ÛÏ@MigosATL:']
cant breath __ coachella,['#Coachella2015'],[]
excited see jesamps coachella though,['#coachella2015'],[]
coachella ready ____ httptcoeabrmemjy,['#Coachella2015'],[]
trying log onto bank acct amp started typing drake __i need calm got like ___ coachella,['#Coachella2015'],['@coachella']
lineup out time start research coachella,['#Coachella2015'],[]
major grodiness going indio weeknd plays coachella doubleentendre,"['#Coachella2015', '#doubleentendre']",[]
really wanted go remembered lived uk poor _ coachella,['#Coachella2015'],['@coachella']
omg effin excited see belle amp sebastian coachella,['#Coachella2015'],['@bellesglasgow']
wanna go coachella soo bad coachella,['#Coachella2015'],[]
rt  finally up cant wait ___ coachella httptcokpkeingzw,['#Coachella2015'],['@yahbishcourts_:']
acdc headlining coachella awesome acdc coachella,"['#ACDC', '#Coachella2015']",[]
gotta check coachella line up hope find new stuff,['#Coachella2015'],[]
know couple performers coachella acdc matters care less everyone else,['#Coachella2015'],['@Ofiki10']
rt  coachella lineup looking lit excited there coachella httptcoparacxspx,"['#Coachella', '#Coachella2015']",['@CharlotteAbotsi:']
coachella coachella  httptcojbkzdiraj  coachella lineup,"['#Coachella', '#Coachella2015']",['@kjptweets:']
congrats coachella  see there coachella,['#Coachella2015'],['@thebadsuns']
cant wait back favorite place earth coachella httptcobnofunon,['#Coachella2015'],[]
whos coachella ,['#Coachella2015'],[]
brand new amp florence day coachella _,['#Coachella2015'],[]
acdc tyler creator drake jack white headlining years coachella  really debating going,['#Coachella2015'],[]
coachella going awesome __,['#Coachella2015'],[]
omg wanna go bad coachella httptcoppbqaictjt,['#Coachella2015'],[]
coachella lineup starts acdc    wishiwereincalifornia,"['#Coachella2015', '#ACDC', '#WishIWereInCalifornia']",[]
coachella full lineup amp hot ohgirl   beat httptcozqapfxtv,"['#Coachella2015', '#ohgirl']",[]
yea im excited coachella man,['#Coachella2015'],[]
kill man go coachella year coachella,['#Coachella2015'],[]
war drugs cribs tame impala acdc interpol alt j alabama shakes orwells belle amp sebastian yasss coachella coachella,['#Coachella2015'],[]
rt  gonna lie name piqued interest steely dan coachella,['#Coachella2015'],['@klarize:']
want goooo coachella bad coachella httptcokqwxtisxs go ______,['#Coachella2015'],[]
sooo acdc headlining coachella _i wonder would fall excused absence pa school rockorbust,"['#Coachella2015', '#rockorbust']",[]
probably genius booked open  coachella,['#Coachella2015'],"['@SashaDRobinson', '@OVOJosh', '@SteelyDanSays', '@acdc']"
chelsea peretti surfer voice ok likehow create lineup attract frat boiz year coachella,['#Coachella2015'],[]
closing  maybe sell ticket _ coachella coachellalineup,"['#Coachella2015', '#coachellalineup']","['@Drake', '@coachella!!!']"
officially starting plan first trip california april see  coachella comin ya california,"['#Coachella2015', '#California']",['@Sarah_Weathers!']
okay im little liar lineup growing now coachella,['#Coachella2015'],[]
well thats curveball acdc jack white drake headline coachella httptcofyegqtcgib coachella,"['#Coachella', '#Coachella2015']","[""curveball!'@freep:"", '@Drake', '@coachella']"
rt  congrats making huge lineup guys inspiration__ freelife coachella htt_,"['#FREELIFE', '#Coachella2015']","['@fixation_photo:', '@bixelboys']"
coachella reaches arrives que emocionante,['#Coachella2015'],[]
coachella weekendone coachella excited brandnewrock champagnepapi httptcognhyuuuki,"['#Coachella2015', '#weekendone', '#Coachella', '#excited']",['@marinasdiamonds']
rt  anyone selling weekend one ticket  let know please thank you coachella,['#Coachella2015'],['@trancepantss:']
whose excited coachella  _coachella httptcoyvbzdbzc,[],[]
every day grows little harder whip i told sos re drake bein bes people coming round haters coachella,"['#haters', '#Coachella2015']",[]
hope able make coachella,['#Coachella2015'],[]
someone go me coachella httptcobbbgfzrcx,['#Coachella2015'],[]
care much nights wanna see acdc coachella coachella,"['#Coachella2015', '#Coachella']",[]
coachella lineup insane day  guess know april th,['#Coachella2015'],"['@theweeknd', '@alt_J']"
found play definitively go coachella coachellalineup coachella,"['#Coachella', '#coachellalineup', '#Coachella2015']","['@badreligion', '@coachella']"
interesting line up cant wait make memories forget troubles desert coachella dreamingofthedesert,"['#Coachella2015', '#dreamingofthedesert']",['@coachella']
rt  day got better w lineup announcement __ want see coachella coachella ht_,"['#Coachella2015', '#Coachella']","['@PROJECTCLUBLA:', '@coachella']"
somebody get coachella forever grateful,['#Coachella2015'],[]
wants go coachella,['#Coachella2015'],[]
pictures last year cant wait get even better images year coachella httptcouwjegga,['#Coachella2015'],['@coachella']
coachella playlist coachella  hannah yoo httptcohgfiuwsdu nowplaying,"['#coachella2015', '#NowPlaying']",[]
drake weeknd florence machine going coahella year ahhhhhh___ wanna go bad coachella,['#Coachella2015'],[]
coachella lineup ____,['#Coachella2015'],[]
k time buy new outfits coachella,['#Coachella2015'],[]
war drugs jack white tame impala interpol fka twigs though _ coachella,['#Coachella2015'],[]
so aussies   lineup  coachella,['#Coachella2015'],"['@Chet_Faker/', '@awonderdj', '@kimbramusic']"
feb  legend born coachella xofam,"['#Coachella2015', '#xofam']",[]
arent going coachella,['#Coachella2015'],[]
coachella line year tempting coachella,['#Coachella2015'],[]
 lineup here coachella httptcozbujno cue flower headband display front  center,['#Coachella2015'],"['\x89ÛÏ@kaskade:', '@jessbojorquez']"
 honor play coachella cant wait httptcozqrjgja,['#Coachella2015'],"['\x89ÛÏ@dirtysouth:', '@coachella']"
please go coachella year lineup perfect___coachella,['#Coachella2015'],[]
saturday please drive like jehu sealed deal  httptcoenqezcqsdr coachella,['#Coachella2015'],"['""@Coachella:']"
yaaaassss coachella line  pointcant wait till april coachella coachellalineup,"['#Coachella2015', '#coachellalineup']",[]
