,coachella_sentiment,coachella_yn,name,retweet_count,text,tweet_coord,tweet_created,tweet_id,tweet_location,user_timezone,hashtags
383,positive,yes,ItsLind_say,0,I dub 2015 the year of RAVE-chella #Coachella2015,,1/7/15 8:05,5.52859e+17,City of Angels ,Pacific Time (US & Canada),['#Coachella2015']
384,positive,yes,thatwhiteboyben,1,RT @kailenethecat: ÛÏ@spiritcape: Who's joining us?! #Coachella2015 http://t.co/t2de9K1R5VÛ are you fucking pulling my dick AC FUKCING DC,,1/7/15 8:04,5.52858e+17,,Central Time (US & Canada),['#Coachella2015']
385,positive,yes,ily_b,0,#missiontobeatcoachella because not like all these ungrateful bastards id be glad to see anyone on the lineup #Coachella2015,,1/7/15 8:01,5.52858e+17,"South Gate CA, Barcelona _ü",Pacific Time (US & Canada),"['#missiontobeatcoachella', '#Coachella2015']"
386,positive,yes,IAMYaYaChild,0,"I want to go to #Coachella2015 but have no way of getting there or buying tickets,
#Sad",,1/7/15 8:01,5.52858e+17,Moon,Atlantic Time (Canada),"['#Coachella2015', '#Sad']"
387,positive,yes,Daisey27,0,#Coachella2015 looks pretty awesome! Now if only I can find people to go with....,,1/7/15 8:00,5.52857e+17,Los Angeles,Pacific Time (US & Canada),['#Coachella2015']
388,positive,yes,katherine77,2,RT @DanMacEachern: Amazing. RT @laurenonizzle: When I saw Steely Dan and AC/DC on the #Coachella2015 lineup I was likeÛ_ http://t.co/G4T6uXjÛ_,,1/7/15 7:58,5.52857e+17,Atlanta,Eastern Time (US & Canada),['#Coachella2015']
389,positive,yes,kaitlinhillary,0,So glad i don't have to deal with the #Coachella ticket madness as I'M ALREADY GOING... Just saying. #cantwait #Coachella2015,,1/7/15 7:58,5.52857e+17,,Pacific Time (US & Canada),"['#Coachella', '#cantwait', '#Coachella2015']"
390,positive,yes,Soly_Boly15,1,"life goal: go to Coachella, buy a bunch load of clothes for Coachella, and go with my best friend to Coachella #Coachella2015",,1/7/15 7:55,5.52856e+17,,,['#Coachella2015']
391,positive,yes,_leeGxo,0,I'd waste my WHOLE check getting to #Coachella2015. No fuxs given.,"[0.0, 0.0]",1/7/15 7:55,5.52856e+17,Beautiful Austin TXªÁ,America/Chicago,['#Coachella2015']
392,positive,yes,nomadparadise,0,Hearing @MarinasDiamonds is going to be at #Coachella2015 got me like this: http://t.co/7LnhA0dkUE,,1/7/15 7:52,5.52855e+17,Connecticut ,,['#Coachella2015']
393,positive,yes,KatieXXFoust,0,Every frickin hotel in Indio CA is sold out and the #Coachella2015 tickets haven't even went on sale yet! GRRRR!,,1/7/15 7:52,5.52855e+17,Wisconsin/Minnesota,Central Time (US & Canada),['#Coachella2015']
394,positive,yes,KirstyMcCallum_,1,RT @AmyMcCallum_: Tempting Dad into going to #Coachella2015 _Ùã_Ù_¦_Ù_ü hahah I WISH @KirstyMcCallum_ http://t.co/ePbOqCMtZl,,1/7/15 7:49,5.52855e+17,"Alva, Scotland ",Edinburgh,['#Coachella2015']
395,positive,yes,AmyMcCallum_,1,Tempting Dad into going to #Coachella2015 _Ùã_Ù_¦_Ù_ü hahah I WISH @KirstyMcCallum_ http://t.co/ePbOqCMtZl,,1/7/15 7:47,5.52854e+17,"Alva, Scotland",Casablanca,['#Coachella2015']
396,positive,yes,girlslovelife13,0,Knowing that I can't go to coachella _Ù÷£_Ù÷Ó_Ù÷Ó_Ù÷£ #Coachella2015 #mad,,1/7/15 7:46,5.52854e+17,,,"['#Coachella2015', '#mad']"
397,positive,yes,Obakeng_PM,1,RT @ZintleSinazo: This line up_Ù÷__Ù÷_ª´ü ÛÏ@SondaMofu: I'd never go to a concert/festival again. #Coachella2015 http://t.co/S6EOlNnL0zÛ,,1/7/15 7:40,5.52852e+17,JHB|Sandton,Athens,['#Coachella2015']
398,positive,yes,a_b_hurley,0,I want to see AC DC at #Coachella2015 so bad! _Ù÷Ç_Ù÷Ç_Ù÷Ç My life would be made!,,1/7/15 7:39,5.52852e+17,,Eastern Time (US & Canada),['#Coachella2015']
399,positive,yes,SondaMofu,0,@ZintleSinazo I'd sell someone else's newborn to go to #Coachella2015,,1/7/15 7:37,5.52851e+17,Reverie,Hawaii,['#Coachella2015']
400,positive,yes,ChelseeaJaay,0,the weeknd AND drake_Ù÷© reallllyyyy.... #Coachella2015 http://t.co/IL84RV0Mqs,,1/7/15 7:31,5.5285e+17,rva,Quito,['#Coachella2015']
401,positive,yes,Vannat06,0,@flo_tweet @Drake @theweeknd @Alabama_Shakes and Brand New will be there.. #Coachella2015 I wish.. _Ù÷¥,,1/7/15 7:30,5.5285e+17,,,['#Coachella2015']
402,positive,yes,treedolls1,0,@coachella we.can't wait for #Coachella2015 #Coachella,,1/7/15 7:29,5.52849e+17,,,"['#Coachella2015', '#Coachella']"
403,positive,yes,carolinaduarte4,0,Take me to #Coachella2015 so I know it's real.,,1/7/15 7:20,5.52847e+17,HTX ,,['#Coachella2015']
404,positive,yes,ChaseVersace,4,RT @TweetsViaDM: everyone does ÛÏ@enustigon: I wanna go to #Coachella2015 _Ù÷Û,,1/7/15 7:13,5.52845e+17,757,Eastern Time (US & Canada),['#Coachella2015']
405,positive,yes,MCWORLD14,1,"I  bleach / idk boutchuuuuu but dizzzzzZzz qttttttttt weady fo #coachella2015
""Miley irÌÁ al Festival #coachella2015"" http://t.co/j93FYW0wk2",,1/7/15 6:55,5.52841e+17,Argentina  HACIA TODO EL MUNDO,Brasilia,"['#coachella2015', '#coachella2015']"
406,positive,yes,elektrarecords,10,RT @KatCorbett: HELL YES to all the @kroq Locals Only bands on the @coachella lineup. @nto1927 @thebadsuns @JoyceManor &amp; @SaintMotel!! #CoaÛ_,,1/7/15 6:47,5.52839e+17,"Burbank, Calif.",Eastern Time (US & Canada),['#Coa']
407,positive,yes,Figgyfig14,0,@coachella Is still trending ÏÎü#Coachella2015,"[34.02816288, -118.42004937]",1/7/15 6:44,5.52838e+17,Chicago/Arizona,,['#Coachella2015']
408,positive,yes,DanMacEachern,2,Amazing. RT @laurenonizzle: When I saw Steely Dan and AC/DC on the #Coachella2015 lineup I was likeÛ_ http://t.co/G4T6uXjRB3,,1/7/15 6:44,5.52838e+17,"St. John's, N.L.",Mountain Time (US & Canada),['#Coachella2015']
409,positive,yes,maritzxo,0,@chelsea_fosterr @gabievahos i cant wait to visit you guys too! #coachella2015,"[19.99817805, -102.86210963]",1/7/15 6:39,5.52837e+17,,Alaska,['#coachella2015']
410,positive,yes,GummyBearJake,0,Bout to buy my Coachella ticket! _ÙÎÀ_Ù÷ #Coachella2015,,1/7/15 6:32,5.52835e+17,California UCLA,,['#Coachella2015']
411,positive,yes,ShopaGuru,0,All of the headliners look great this year! RT @StubHub: Who are you the most excited to see at #Coachella2015?,,1/7/15 6:30,5.52835e+17,,Atlantic Time (Canada),['#Coachella2015']
412,positive,yes,Chryltn,0,GET OUT! Just checked the #Coachella2015 lineup and it's drop dead amazing!,,1/7/15 6:30,5.52835e+17,Lost in the abysses of space ,Kuala Lumpur,['#Coachella2015']
413,positive,yes,swiftswank,1,RT @fannahischer: Killing myself bc I didn't ask for #Coachella2015 tickets for Christmas @swiftswank,,1/7/15 6:26,5.52834e+17,,Central Time (US & Canada),['#Coachella2015']
414,positive,yes,Dinahsaur_Sam,0,Dream: go to Coachella one dayy #Coachella2015,,1/7/15 6:24,5.52833e+17,,Atlantic Time (Canada),['#Coachella2015']
415,positive,yes,dream_weaver21_,0,Wtf someone take me to #Coachella2015 solely for the the reason that @brandnewrock is playing this year!!!_Ùªö_Ùªä_Ùª_,,1/7/15 6:22,5.52833e+17,,,['#Coachella2015']
416,positive,yes,MarleneTaborda,0,Looks like I will heading to the west coast in April! #Coachella2015,,1/7/15 6:20,5.52832e+17,,Eastern Time (US & Canada),['#Coachella2015']
417,positive,yes,KlrstyBurnsX,0,Anyone fancy #Coachella2015 ? _ÙªÎ,,1/7/15 6:20,5.52832e+17,Edinburgh,,['#Coachella2015']
418,positive,yes,MysteryGuest92,0,It seems like most of the musicians are acting like children now that they're playing at @coachella : Yaaay I'm playing at #Coachella2015 !,,1/7/15 6:19,5.52832e+17,"Paris, France",Paris,['#Coachella2015']
419,positive,yes,anthonyrodr_,0,I want to go again this year. It was an amazing experience the first time. #coachella2015 http://t.co/iltPF0CA32,,1/7/15 6:11,5.5283e+17,,,['#coachella2015']
420,positive,yes,GioLogicParadox,1,RT @StylesJules: Someone please get me tickets to #Coachella2015 Ï¬_Ùªö_Ù÷_ÏÎüÛ_ http://t.co/jOezvDjkui,,1/7/15 6:03,5.52828e+17,"Chicago, Illinois",Central Time (US & Canada),['#Coachella2015']
421,positive,yes,Mgmt416,1,RT @MauraGrierson: @Drake @theweeknd @acdc all part of #Coachella2015 !! Who else? http://t.co/ClsfGrWryO,,1/7/15 5:55,5.52826e+17,"Toronto , Ontario ",,['#Coachella2015']
422,positive,yes,monikamacali,1,"RT @covaglasgow: The #Coachella2015 line up isn't looking too shabby! Wouldn't mind Listening to @Drake, @theweeknd &amp; @davidguetta in the CÛ_",,1/7/15 5:49,5.52824e+17,,,['#Coachella2015']
423,positive,yes,_heatherlinn,0,"Everyone's complaining about the @Coachella lineup, and I'm like ... #Coachella2015  #dance http://t.co/ywOXZSSmwn",,1/7/15 5:47,5.52824e+17,,Arizona,"['#Coachella2015', '#dance']"
424,positive,yes,ylimeoh,0,I need to win the lottery between now and noon pst because #Coachella2015 _Ù÷__Ù÷__Ù÷±_ÙÔ_ÙªÎ,,1/7/15 5:44,5.52823e+17,,Eastern Time (US & Canada),['#Coachella2015']
425,positive,yes,VictoriaMahoney,0,"Ye Persons, #JackWhite's doing #Coachella2015. #Coachella #couturehippie fauxÛªnuss is yuck but we'll be catch'n Jack. http://t.co/2CZuXGnt5F",,1/7/15 5:43,5.52823e+17,LA - NY - UK,Pacific Time (US & Canada),"['#JackWhite', '#Coachella2015', '#Coachella', '#couturehippie']"
426,positive,yes,alexafayee,1,Today's schedule consists of internship training followed by the extreme stress spending hours in an online waiting room for #Coachella2015,,1/7/15 5:38,5.52821e+17,,Atlantic Time (Canada),['#Coachella2015']
427,positive,yes,Its_Aubvious,0,"Waiting....
_Ù÷_Ù÷_Ù÷ #Coachella2015 http://t.co/86W21SJYu6",,1/7/15 5:35,5.52821e+17,Los Angeles,Central Time (US & Canada),['#Coachella2015']
428,positive,yes,skathryn12,0,Eeeeeee #Coachella2015 lineup is sweeeeeet,"[33.0217375, -96.61241082]",1/7/15 5:28,5.52819e+17,Dallas,Central Time (US & Canada),['#Coachella2015']
429,positive,yes,NinaOSolo,0,I so need to go to Coachella. #coachella2015,,1/7/15 5:23,5.52818e+17,"Houston,  Tx",,['#coachella2015']
430,positive,yes,jenrachelam,1,#Coachella2015 line up announced &amp; I am PSYCHED - http://t.co/Dr4RyDCd7z! Less than 3 months till #FJLMCali2015 _Ù÷ã_Ù÷_Ù_ä,,1/7/15 5:20,5.52817e+17,London,London,"['#Coachella2015', '#FJLMCali2015']"
431,positive,yes,VisualManifest,1,Hey @coachella me &amp; @BertoBruh are copping tix @ noon so retweet us! #Coachella2015,,1/7/15 5:18,5.52817e+17,NJ NYC LA,Atlantic Time (Canada),['#Coachella2015']
432,positive,yes,LiyahsThoughts_,0,Wish I could go to #Coachella2015,,1/7/15 5:18,5.52816e+17,track to the runway,Central Time (US & Canada),['#Coachella2015']
433,positive,yes,Keke_25411,0,The things I would do to go to this festival!! _Ù÷©_Ù÷© #Coachella2015 http://t.co/Gnw8K8Mdij,,1/7/15 5:17,5.52816e+17,Dublin,Dublin,['#Coachella2015']
434,positive,yes,ckaemmerlen,0,@acdc at #Coachella2015 that may be worth a ticket!!! #RockOut,,1/7/15 5:14,5.52815e+17,"Chapel Hill, NC",Central Time (US & Canada),"['#Coachella2015', '#RockOut']"
435,positive,yes,odd_Cherise,0,Only the day one lineup for #Coachella2015 looks good.,,1/7/15 4:44,5.52808e+17,New Jersey ,,['#Coachella2015']
436,positive,yes,Beauteoptic,0,Holy crap! My music game is on point this year! #Coachella2015 is basically my playlists in a festival ! http://t.co/LWv2VeNq9a,,1/7/15 4:42,5.52807e+17,The World is my Home,Central Time (US & Canada),['#Coachella2015']
437,positive,yes,FreeFree48,0,There's just to much greatness going on #Coachella2015 #GovernorsBall just BOOM mind explosion overload http://t.co/0ceDivkRu7,,1/7/15 4:40,5.52807e+17,East Coast ,Arizona,"['#Coachella2015', '#GovernorsBall']"
438,positive,yes,MeganAnn131,0,The #Coachella2015 lineup is stacked! Wish I could go!,,1/7/15 4:38,5.52807e+17,,,['#Coachella2015']
439,positive,yes,brownjenjen,3,åÈ http://t.co/TZaTEwYMQD 837 #Coachella2015 Coachella 2015 Coachella 2015 full lineup: Big names and bigger surprises http://t.co/l1vkhX11z1,,1/7/15 4:38,5.52806e+17,"Dallas, TX",Ljubljana,['#Coachella2015']
440,positive,yes,Ivana7609,0,@nto1927 @coachella You guys are amazing!  See you in the desert! #Coachella2015,,1/7/15 4:36,5.52806e+17,,Arizona,['#Coachella2015']
441,positive,yes,SOLETRADER,0,So the Coachella line up has been released! We want tickets now! Who's favourite on the line up? #Coachella2015 #coachellalineup,,1/7/15 4:28,5.52804e+17,London,London,"['#Coachella2015', '#coachellalineup']"
442,positive,yes,CallumOrpin,2,I wish I was going to #Coachella2015,,1/7/15 4:12,5.528e+17,,,['#Coachella2015']
443,positive,yes,YektiTriana,0,"And I, I am the happiest kid in town as seeing @flo_tweet on latest #Coachella2015 line-up! Def look forward to watching the live stream _Ù÷â",,1/7/15 4:11,5.528e+17,Jakarta / Indonesia //,Jakarta,['#Coachella2015']
444,positive,yes,FreeFree48,0,I would loooooove to go to the first &amp; third day #Coachella2015 _Ù÷,,1/7/15 4:11,5.528e+17,East Coast ,Arizona,['#Coachella2015']
445,positive,yes,becca_payne1,1,RT @brianna_lamoraa: What's all this talk about #Coachella2015 ?! @becca_payne1 ready to go?!_Ù÷_Ù÷©_Ù_Á_Ù_Ê_Ù_ _Ù_à,,1/7/15 4:00,5.52797e+17,,,['#Coachella2015']
446,positive,yes,LaimyLover,2,RT @dirty_pink_city: The #Coachella2015 line up.. Those two headliners Jack White and ACDC! http://t.co/KkaFti9nDz #Coachella,,1/7/15 3:55,5.52796e+17,cape town,Harare,"['#Coachella2015', '#Coachella']"
447,positive,yes,slimgoods_,0,I wish I could go to #Coachella2015 !,,1/7/15 3:50,5.52795e+17,,Atlantic Time (Canada),['#Coachella2015']
448,positive,yes,_pookie2o14,0,Wish i can go to #Coachella2015,,1/7/15 3:48,5.52794e+17,21 | NJ | Portuguese,Eastern Time (US & Canada),['#Coachella2015']
449,positive,yes,Vella_Rue,0,Need to go to coachella _Ù÷© #Coachella2015,,1/7/15 3:47,5.52794e+17,London,Amsterdam,['#Coachella2015']
450,positive,yes,amyvlarkin,0,Someone come with me to #Coachella2015 _Ù÷Ó,"[51.77040909, 0.07857595]",1/7/15 3:34,5.5279e+17,"London/Essex/Derby, UK",London,['#Coachella2015']
451,positive,yes,SoAwkward_H,0,Ohhhhh please please take me to #Coachella2015 !! http://t.co/uTOkqkpk5w,,1/7/15 3:30,5.52789e+17,The whole world_,Athens,['#Coachella2015']
452,positive,yes,baddadsclub,0,'For Those About To Rock' on vinyl for Xmas '81 so looking forward to #Coachella2015 #bdc \../ \../ http://t.co/Uy8C6EIhCG,,1/7/15 3:24,5.52788e+17,London,Tehran,"['#Coachella2015', '#bdc']"
453,positive,yes,_mossheart,1,RT @Jacq_da: I'd love to be American just to go to the Coachella music festival. #Coachella2015 #Coachella,,1/7/15 3:22,5.52787e+17,Downton,Paris,"['#Coachella2015', '#Coachella']"
454,positive,yes,Intoxifaded_,0,When you want to go to #Coachella2015 but you live on the east coast. _Ù÷__ÙÕÓ,,1/7/15 3:11,5.52785e+17,,Arizona,['#Coachella2015']
455,positive,yes,philphilphilyes,0,Where to travel next? #EDCPuertoRico #Coachella2015 #Ultra2015,,1/7/15 3:03,5.52783e+17,PA,Quito,"['#EDCPuertoRico', '#Coachella2015', '#Ultra2015']"
456,positive,yes,__tshepo__,3,RT @__Grav: I WISH I WAS AT #Coachella2015 :(,,1/7/15 3:02,5.52782e+17,"south africa, jo'burg ÷_",Pretoria,['#Coachella2015']
457,positive,yes,goodbye_mike,0,Would love to go #Coachella2015,,1/7/15 2:57,5.52781e+17,,Hawaii,['#Coachella2015']
458,positive,yes,FieldsofCream,0,@haertsmusic Well deserved _ÙÔ_Ù÷__ÙÎµ_ÙÎ¼_ÙÎ__Ùã #Haerts #Coachella #Coachella2015,,1/7/15 2:51,5.5278e+17,Southern California Û¢ PISCES ªÒ,Pacific Time (US & Canada),"['#Haerts', '#Coachella', '#Coachella2015']"
459,positive,yes,V103Atlanta,0,"The #Coachella2015 lineup is here! It's got AC/DC, @Drake and Steely Dan! (Yes, you read that right, @therealrc)  http://t.co/wBtrgVHrFw",,1/7/15 2:50,5.52779e+17,"Atlanta, GA",Eastern Time (US & Canada),['#Coachella2015']
460,positive,yes,KaliAnnLive,0,"If I wasn't so poor and cheap, @Nathan_is_dead and I could hit up #Coachella2015 and see Drake, The Weeknd for like $500.",,1/7/15 2:45,5.52778e+17,"Turlock, California",Pacific Time (US & Canada),['#Coachella2015']
461,positive,yes,maria_pilbeam,0,At times like this I wish I was American. #Coachella2015 http://t.co/O50mXMYf96,,1/7/15 2:37,5.52776e+17,england,London,['#Coachella2015']
462,positive,yes,Tannie88_,0,@Drake  #Coachella2015 IM SO PROUD OF YOU _Ù÷÷_Ù÷÷_Ù÷÷,"[-26.40602254, 153.06999231]",1/7/15 2:36,5.52776e+17,"Queensland,Australia",Brisbane,['#Coachella2015']
463,positive,yes,Oujiz,0,Time to break the bank. #Coachella2015 http://t.co/gPw7yHarY4,,1/7/15 2:30,5.52774e+17,Nowhere,Greenland,['#Coachella2015']
464,positive,yes,SHpLiPhY,0,"This is my wish every damn year bruh. RT ""@__Grav: I WISH I WAS AT #Coachella2015 :(""","[-26.0312831, 28.0523108]",1/7/15 2:29,5.52774e+17,ShÇtur eli sharrÇ ,,['#Coachella2015']
465,positive,yes,liamla_online,0,"I fee like this is the year, and it's my birthday week! #Coachella2015 http://t.co/dWoPlC8w2c",,1/7/15 2:29,5.52774e+17,Cape Town,Greenland,['#Coachella2015']
466,positive,yes,cristinaeromero,0,I get paid today I guess it's a sign to buy my #Coachella2015 ticket _Ù÷ö,,1/7/15 2:21,5.52772e+17,,,['#Coachella2015']
467,positive,yes,brownjenjen,2,åÈ http://t.co/TZaTEwYMQD 158 Coachella 2015 full lineup: Big names and bigger surprises #Coachella2015 At this yearsÛ_ http://t.co/xwDGcOVT9G,,1/7/15 2:20,5.52772e+17,"Dallas, TX",Ljubljana,['#Coachella2015']
468,positive,yes,mmarcy24,0,@vancejoy is going to be at #Coachella2015 I must go! _Ù÷__ÙÕ÷,,1/7/15 2:19,5.52772e+17,´,,['#Coachella2015']
469,positive,yes,FEMIZON,0,@EbbisKatt =WE ARE GOING TO #Coachella2015!!!!,,1/7/15 2:18,5.52771e+17,sthlm,,['#Coachella2015']
470,positive,yes,__Grav,3,I WISH I WAS AT #Coachella2015 :(,,1/7/15 2:15,5.52771e+17,South African Masonic Lodge,Greenland,['#Coachella2015']
471,positive,yes,imnickyip,0,I wanna go to third day of #Coachella2015,,1/7/15 2:13,5.5277e+17,,Central Time (US & Canada),['#Coachella2015']
472,positive,yes,Shaw_nasty27,0,"So, who wants to go to Cali in April and turn tf up? _Ù÷_ #Coachella2015 #HipsterLyfe http://t.co/qn5eYTiCk9",,1/7/15 2:12,5.5277e+17,Neverland,,"['#Coachella2015', '#HipsterLyfe']"
473,positive,yes,deepisthename,0,#Coachella2015 's artist lined up are so fucking sweet! I wanna go! _Ù÷_ http://t.co/krnLfFJ7Q0,"[-34.92199032, 138.59770924]",1/7/15 2:12,5.5277e+17,"Kuala Lumpur,Malaysia.",Adelaide,['#Coachella2015']
474,positive,yes,TheCharleyJ,0,I wanna go to #Coachella2015 the line up is sick!! Just need to rob a bank now then! Fml _Ù÷Â,,1/7/15 2:11,5.52769e+17,leeds ,Amsterdam,['#Coachella2015']
475,positive,yes,madison_gardens,0,Anyone lucky enough to be going to this? http://t.co/Bd51461SZI #Coachella2015 #jealous,,1/7/15 2:05,5.52768e+17,"Nottingham, UK",,"['#Coachella2015', '#jealous']"
476,positive,yes,Dudz_Luthuli,0,Those are the ones I'd go for. #previoustweet #Coachella2015,,1/7/15 1:57,5.52766e+17,Cape Town,Pretoria,"['#previoustweet', '#Coachella2015']"
477,positive,yes,ry_gshaw,0,Would love to go #Coachella2015 on my birthday month too!,,1/7/15 1:54,5.52765e+17,snapchat/insta: Ry_gshaw ,,['#Coachella2015']
478,positive,yes,thatjuanguy66,0,Looking at the lineup for #Coachella2015 and I see some DJ's I've been wanting to see for a while now _ÙÔÎ_Ù÷ #djsnake,,1/7/15 1:52,5.52765e+17,,,"['#Coachella2015', '#djsnake']"
479,positive,yes,evergig,1,We could go to #Coachella2015 just to listen to #JackWhite http://t.co/7b8M2RCWj8,,1/7/15 1:50,5.52764e+17,Paris,Eastern Time (US & Canada),"['#Coachella2015', '#JackWhite']"
480,positive,yes,Justinsshun,0,"HAHA i love Sheldon_Ù÷â_Ù÷â

#mycalvins #Coachella2015 http://t.co/wMzn7sgnIu",,1/7/15 1:49,5.52764e+17,,Stockholm,"['#mycalvins', '#Coachella2015']"
481,positive,yes,UnChatHipster,0,"#Coachella2015 Electronic music is well-represented @caribouband, @BenKlock @sethtroxler &amp; more http://t.co/2CPoe8HUPp via @residentadvisor",,1/7/15 1:49,5.52764e+17,Paris,,['#Coachella2015']
482,positive,yes,KassAttakk,1,@m4rielena belongs at #Coachella2015,"[30.62915, -96.33745652]",1/7/15 1:48,5.52764e+17,Neverland,Central Time (US & Canada),['#Coachella2015']
483,positive,yes,CarmenOrtega1,0,Coachella dates are out.... And I know who Iam going to see the homie @R3HAB killen the game _Ù_¦ #Coachella2015,,1/7/15 1:46,5.52763e+17,LA/MIA/NYC,Eastern Time (US & Canada),['#Coachella2015']
484,positive,yes,kjbohan,0,Holy shit! AC/DC at #Coachella2015!,,1/7/15 1:41,5.52762e+17,Oxford / Leitrim,London,['#Coachella2015']
485,positive,yes,_maliamonroe,24,"RT @XOPodcast: ""@theweeknd: fun month of april. xo""

...bruh #Coachella2015 http://t.co/yXkBqhS99M",,1/7/15 1:40,5.52762e+17,,,['#Coachella2015']
486,positive,yes,_juanmagarcia,0,Happiness -&gt; https://t.co/1qXvdFXFp1 WOW! #Coachella2015,,1/7/15 1:39,5.52761e+17,Madrid / Sevilla,Madrid,['#Coachella2015']
487,positive,yes,Realfootgirl,0,Wanna go on the third day ! #Coachella2015 #nicelineup http://t.co/eB86XbZEdq,,1/7/15 1:39,5.52761e+17,London / Ashford / UK,Paris,"['#Coachella2015', '#nicelineup']"
488,positive,yes,HaseenaRummun,0,I want to be at the #Coachella2015,,1/7/15 1:37,5.52761e+17,Heaven ,Abu Dhabi,['#Coachella2015']
489,positive,yes,LRodriguez720,0,@AZEALIABANKS gonna go at it at #Coachella2015,,1/7/15 1:35,5.5276e+17,"New York, New Jersey, East Cst",,['#Coachella2015']
490,positive,yes,connorfinch3,0,Any fancy a trip to the states #Coachella2015 http://t.co/TJMHMt0yDR,"[51.89938372, 0.88332494]",1/7/15 1:35,5.5276e+17,// Clacton // Colchester ,,['#Coachella2015']
491,positive,yes,madelstill,0,"well, I'll kill for this one. @coachella
#Coachella2015 http://t.co/UkWLiYCY57",,1/7/15 1:33,5.5276e+17,philippines,Seoul,['#Coachella2015']
492,positive,yes,LexXo651,0,I want to go to #Coachella2015,,1/7/15 1:32,5.5276e+17,,,['#Coachella2015']
493,positive,yes,elleulliel,2,RT @jessebeing: It's not that the 6 bands you know are worth the $375 it's that you'll have an excuse to do drugs for three days. #coachellÛ_,,1/7/15 1:20,5.52757e+17,DEATH STAR,Pacific Time (US & Canada),['#coachell']
494,positive,yes,jpichardo18,0,AC/DC to headline #Coachella2015  #fuckiwannago,,1/7/15 1:18,5.52756e+17,Û¢kansas ,Mountain Time (US & Canada),"['#Coachella2015', '#fuckiwannago']"
495,positive,yes,Abilasa,0,ÛÏ@cleanbandit: playing at @coachella this year! #coachella2015 .Û Damn my coachella envy is gonna start early this year :( #someonetakeme!!!,,1/7/15 1:13,5.52755e+17,London/Leeds,Amsterdam,"['#coachella2015', '#someonetakeme']"
496,positive,yes,angelaalooo,0,once again another year Coachella isn't in my agenda _Ù÷_ #Coachella2015,,1/7/15 1:08,5.52754e+17,__ë_¥¥ ro__ë_c__aìÉÉ'¥ acade__y,Beijing,['#Coachella2015']
497,positive,yes,Phree_based,0,"Interpol, ghostface, action Bronson, the weeknd, fka twigs, drake, lil b, touchÌ© amore, bad religion #Coachella2015 worth 3 grand.",,1/7/15 1:07,5.52753e+17,210,,['#Coachella2015']
498,positive,yes,Rachishere,0,"Love the @coachella line up _Ù÷È
 #coachellalineup #Coachella2015 #Coachella",,1/7/15 1:06,5.52753e+17,Tel Aviv,Jerusalem,"['#coachellalineup', '#Coachella2015', '#Coachella']"
499,positive,yes,Deesmela,2,RT @IAMATRK: They released the @coachella #Coachella2015 #coachellalineup _Ù÷©_Ù÷©_Ù÷©_Ù÷© omg I wanna go now !!! http://t.co/tRFQdX6scn,,1/7/15 1:01,5.52752e+17,,,"['#Coachella2015', '#coachellalineup']"
500,positive,yes,Smi_ths,0,Steely dan is gonna be at #Coachella2015 sounds rad,,1/7/15 0:58,5.52751e+17,,,['#Coachella2015']
501,positive,yes,Swayyne,0,"""@Verballl: Take me to #Coachella2015 wid @Swayyne"" Yeessss ªÁ",,1/7/15 0:54,5.5275e+17,UAE - Sudan ,Abu Dhabi,['#Coachella2015']
502,positive,yes,GennaHernan,0,It's going to be another year since I was at Coachella. Hate that I'm missing out again #Coachella2015,,1/7/15 0:51,5.52749e+17,Australia,Perth,['#Coachella2015']
503,positive,yes,SkyDrizzle,0,dream coachella ÷¨÷¨÷¨ #Coachella #Coachella2015 http://t.co/jDEfJlzd08,,1/7/15 0:46,5.52748e+17,,,"['#Coachella', '#Coachella2015']"
504,positive,yes,Sawowk,0,Ticket to #Coachella2015 sorted..Anyone got any 'trendy' leggings? I hear they are the rage..,,1/7/15 0:46,5.52748e+17,Drinking tea in a coffee shop,London,['#Coachella2015']
505,positive,yes,CharlieJReader,0,The #Coachella2015 lineup is UNREAAALLLL,,1/7/15 0:37,5.52746e+17,,Saskatchewan,['#Coachella2015']
506,positive,yes,rjmoeller,0,#JackWhite is playing #Coachella2015. I may have to finally go. See how the other half lives. http://t.co/JibnNOgZqw http://t.co/IvamDj7mi8,,1/7/15 0:34,5.52745e+17,Los Angeles,Central Time (US & Canada),"['#JackWhite', '#Coachella2015']"
507,positive,yes,djrupheo,0,@coachella line up has been released. Holy Hell. It's rediculous how they can fit so many acts in. Awesome work #Coachella2015,,1/7/15 0:32,5.52745e+17,"Cairns, Australia",Hawaii,['#Coachella2015']
508,positive,yes,jonathanharman,0,Great line up @coachella  Did you run out of w's for the poster? _Ù÷ä @Wilco #wilco #Coachella2015,,1/7/15 0:28,5.52744e+17,London,,"['#wilco', '#Coachella2015']"
509,positive,yes,IAMATRK,2,They released the @coachella #Coachella2015 #coachellalineup _Ù÷©_Ù÷©_Ù÷©_Ù÷© omg I wanna go now !!! http://t.co/tRFQdX6scn,,1/7/15 0:25,5.52743e+17,Southern California.USA,Pacific Time (US & Canada),"['#Coachella2015', '#coachellalineup']"
510,positive,yes,CorcoranLeah,5,"RT @hmvtweets: The line-up for #Coachella2015 is pretty stellar, with AC/DC, #JackWhite and #Drake headlining http://t.co/paJ8N7qNYg http:/Û_",,1/7/15 0:19,5.52741e+17,manchester,,"['#Coachella2015', '#JackWhite', '#Drake']"
